Complaint_Text,Time,Location,Keywords,Previous_History,Incident_Type
My bike was stolen from the parking area,Morning,Office,my bike was,Yes,Theft
Someone stole my mobile phone in the market,Afternoon,Highway,someone stole my,Yes,Theft
Vehicle theft outside office,Night,Market,vehicle theft outside,Yes,Theft
My bike was stolen from the parking area,Afternoon,School,my bike was,Yes,Theft
Vehicle theft outside office,Afternoon,Railway Station,vehicle theft outside,Yes,Theft
Wallet stolen near bus stand,Evening,Market,wallet stolen near,Yes,Theft
Wallet stolen near bus stand,Evening,Office,wallet stolen near,Yes,Theft
Someone stole my mobile phone in the market,Evening,Highway,someone stole my,Yes,Theft
Wallet stolen near bus stand,Morning,Bank,wallet stolen near,No,Theft
Vehicle theft outside office,Evening,Market,vehicle theft outside,No,Theft
Vehicle theft outside office,Morning,Railway Station,vehicle theft outside,Yes,Theft
Vehicle theft outside office,Evening,Bank,vehicle theft outside,Yes,Theft
My bike was stolen from the parking area,Morning,School,my bike was,No,Theft
My bike was stolen from the parking area,Afternoon,Highway,my bike was,No,Theft
House burglary reported last night,Night,Bank,house burglary reported,Yes,Theft
House burglary reported last night,Evening,School,house burglary reported,No,Theft
My bike was stolen from the parking area,Afternoon,School,my bike was,Yes,Theft
Wallet stolen near bus stand,Night,Office,wallet stolen near,Yes,Theft
House burglary reported last night,Morning,School,house burglary reported,Yes,Theft
House burglary reported last night,Night,Office,house burglary reported,Yes,Theft
Someone stole my mobile phone in the market,Evening,School,someone stole my,No,Theft
Wallet stolen near bus stand,Night,Residential,wallet stolen near,No,Theft
Someone stole my mobile phone in the market,Afternoon,Office,someone stole my,No,Theft
Vehicle theft outside office,Night,Bank,vehicle theft outside,Yes,Theft
Someone stole my mobile phone in the market,Night,Highway,someone stole my,Yes,Theft
My bike was stolen from the parking area,Afternoon,Residential,my bike was,No,Theft
Vehicle theft outside office,Morning,Railway Station,vehicle theft outside,No,Theft
Vehicle theft outside office,Night,Office,vehicle theft outside,Yes,Theft
My bike was stolen from the parking area,Evening,Bank,my bike was,Yes,Theft
House burglary reported last night,Night,Residential,house burglary reported,No,Theft
My bike was stolen from the parking area,Evening,Residential,my bike was,Yes,Theft
House burglary reported last night,Afternoon,Residential,house burglary reported,No,Theft
Someone stole my mobile phone in the market,Morning,Bank,someone stole my,No,Theft
My bike was stolen from the parking area,Morning,Bank,my bike was,No,Theft
Someone stole my mobile phone in the market,Morning,School,someone stole my,Yes,Theft
My bike was stolen from the parking area,Night,Highway,my bike was,Yes,Theft
Someone stole my mobile phone in the market,Night,Residential,someone stole my,No,Theft
Vehicle theft outside office,Night,School,vehicle theft outside,Yes,Theft
House burglary reported last night,Night,Bank,house burglary reported,No,Theft
Vehicle theft outside office,Night,Highway,vehicle theft outside,Yes,Theft
Someone stole my mobile phone in the market,Morning,Bank,someone stole my,Yes,Theft
Vehicle theft outside office,Afternoon,School,vehicle theft outside,Yes,Theft
My bike was stolen from the parking area,Morning,School,my bike was,Yes,Theft
My bike was stolen from the parking area,Evening,Highway,my bike was,Yes,Theft
House burglary reported last night,Night,School,house burglary reported,Yes,Theft
Vehicle theft outside office,Night,School,vehicle theft outside,No,Theft
Wallet stolen near bus stand,Afternoon,Highway,wallet stolen near,Yes,Theft
Wallet stolen near bus stand,Evening,Railway Station,wallet stolen near,No,Theft
Wallet stolen near bus stand,Morning,Highway,wallet stolen near,Yes,Theft
Wallet stolen near bus stand,Evening,Highway,wallet stolen near,Yes,Theft
Someone stole my mobile phone in the market,Afternoon,Hospital,someone stole my,Yes,Theft
Wallet stolen near bus stand,Afternoon,Office,wallet stolen near,No,Theft
Someone stole my mobile phone in the market,Morning,Hospital,someone stole my,Yes,Theft
My bike was stolen from the parking area,Morning,Highway,my bike was,Yes,Theft
Someone stole my mobile phone in the market,Night,Hospital,someone stole my,No,Theft
Someone stole my mobile phone in the market,Night,Market,someone stole my,Yes,Theft
Wallet stolen near bus stand,Morning,Railway Station,wallet stolen near,No,Theft
Wallet stolen near bus stand,Evening,Railway Station,wallet stolen near,No,Theft
Someone stole my mobile phone in the market,Afternoon,Office,someone stole my,Yes,Theft
My bike was stolen from the parking area,Morning,Bank,my bike was,Yes,Theft
My bike was stolen from the parking area,Night,Residential,my bike was,Yes,Theft
Vehicle theft outside office,Morning,Residential,vehicle theft outside,Yes,Theft
Vehicle theft outside office,Morning,School,vehicle theft outside,No,Theft
My bike was stolen from the parking area,Afternoon,Market,my bike was,Yes,Theft
Wallet stolen near bus stand,Evening,Office,wallet stolen near,Yes,Theft
House burglary reported last night,Afternoon,Office,house burglary reported,No,Theft
Someone stole my mobile phone in the market,Evening,Hospital,someone stole my,No,Theft
My bike was stolen from the parking area,Morning,Hospital,my bike was,Yes,Theft
My bike was stolen from the parking area,Afternoon,Office,my bike was,Yes,Theft
House burglary reported last night,Morning,School,house burglary reported,No,Theft
House burglary reported last night,Afternoon,Hospital,house burglary reported,No,Theft
